school;sex;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;higher;internet;famrel;goout;Dalc;Walc;health;absences;M_studytime;M_failures;M_paid;M_G1;M_G2;M_G3;P_studytime;P_failures;P_paid;P_G1;P_G2;P_G3
GP;F;U;GT3;T;1;1;at_home;other;course;father;1;yes;yes;5;3;1;1;3;4;2.0;0.0;no;9.0;11.0;11.0;2.0;0.0;no;5.0;5.0;6.0
GP;F;U;LE3;T;1;1;at_home;other;other;mother;1;yes;yes;4;2;2;3;3;10;2.0;0.0;no;12.0;13.0;12.0;2.0;3.0;yes;7.0;8.0;10.0
GP;F;U;GT3;T;3;3;other;other;home;father;1;yes;no;4;2;1;2;5;4;2.0;0.0;no;11.0;13.0;13.0;2.0;0.0;yes;6.0;10.0;10.0
GP;M;U;LE3;T;2;2;other;other;home;mother;1;yes;yes;4;4;1;1;3;0;2.0;0.0;no;13.0;12.0;13.0;2.0;0.0;no;12.0;12.0;11.0
GP;F;U;GT3;A;4;4;other;teacher;home;mother;2;yes;no;4;4;1;1;1;6;2.0;0.0;no;10.0;13.0;13.0;2.0;0.0;no;6.0;5.0;6.0
GP;M;U;LE3;A;3;2;services;other;home;mother;1;yes;yes;4;2;1;1;1;0;2.0;0.0;no;15.0;16.0;17.0;2.0;0.0;yes;16.0;18.0;19.0
GP;F;U;GT3;T;4;4;teacher;health;reputation;mother;1;yes;yes;3;3;1;2;2;0;2.0;0.0;no;14.0;14.0;14.0;2.0;0.0;yes;10.0;8.0;9.0
GP;F;U;GT3;T;2;1;services;other;reputation;father;3;yes;yes;5;2;1;1;4;4;3.0;0.0;no;10.0;12.0;13.0;3.0;0.0;no;10.0;12.0;12.0
GP;M;U;LE3;T;4;4;health;services;course;father;1;yes;yes;4;3;1;3;5;2;1.0;0.0;no;12.0;13.0;12.0;1.0;0.0;yes;14.0;14.0;14.0
GP;M;U;GT3;T;4;3;teacher;other;course;mother;2;yes;yes;5;3;1;2;3;2;2.0;0.0;no;12.0;12.0;13.0;2.0;0.0;yes;10.0;10.0;11.0
GP;F;U;GT3;T;3;3;other;other;reputation;mother;3;yes;no;5;2;1;1;4;4;2.0;0.0;no;13.0;14.0;14.0;2.0;0.0;no;8.0;10.0;10.0
GP;M;U;LE3;T;4;3;health;other;home;father;1;yes;yes;3;3;1;3;5;4;1.0;0.0;no;12.0;12.0;12.0;1.0;0.0;yes;8.0;10.0;10.0
GP;M;U;GT3;T;4;3;teacher;other;reputation;mother;1;yes;yes;4;1;1;1;1;0;2.0;0.0;no;12.0;13.0;14.0;2.0;0.0;no;13.0;14.0;15.0
GP;M;U;GT3;T;4;4;health;health;other;father;1;yes;yes;5;2;1;1;5;0;1.0;0.0;yes;11.0;12.0;12.0;1.0;0.0;yes;12.0;15.0;15.0
GP;M;U;LE3;T;4;2;teacher;other;course;mother;1;yes;yes;4;1;1;3;5;2;2.0;0.0;no;12.0;13.0;14.0;2.0;0.0;no;15.0;15.0;16.0
GP;M;U;LE3;T;2;2;other;other;reputation;mother;2;yes;yes;5;4;2;4;5;0;2.0;0.0;no;10.0;10.0;10.0;2.0;0.0;no;13.0;13.0;12.0
GP;M;U;GT3;T;2;2;other;other;home;mother;1;yes;yes;4;2;1;2;5;2;1.0;0.0;no;11.0;12.0;12.0;1.0;0.0;yes;12.0;12.0;11.0
GP;M;U;GT3;T;4;4;health;services;home;mother;1;yes;yes;5;2;3;4;5;0;2.0;0.0;yes;10.0;11.0;11.0;2.0;0.0;yes;9.0;11.0;12.0
GP;M;U;LE3;T;3;3;other;other;course;mother;1;yes;yes;5;2;1;1;2;0;2.0;0.0;no;13.0;12.0;12.0;2.0;0.0;no;8.0;10.0;12.0
GP;M;U;GT3;T;3;2;other;other;home;mother;1;yes;yes;5;3;1;1;5;0;1.0;0.0;no;12.0;12.0;12.0;1.0;0.0;yes;12.0;14.0;15.0
GP;M;R;GT3;A;4;4;other;teacher;reputation;mother;2;yes;yes;2;3;1;1;5;7;3.0;0.0;no;13.0;13.0;13.0;3.0;0.0;no;15.0;16.0;15.0
GP;F;R;GT3;T;2;2;at_home;other;reputation;mother;1;yes;no;4;1;1;1;2;8;1.0;0.0;no;14.0;13.0;12.0;1.0;0.0;yes;14.0;13.0;13.0
